Name;Category;Province;City;Rating;Coordenadas
Ca Jaume;Restaurante mediterráneo;Valencia;Valencia;4,1;39.310178, -0.3176393
El Velero;Restaurante mediterráneo;Valencia;Valencia;3,5;39.4191871, -0.3345935
Restaurante la Perleta Valenciana;Restaurante de cocina valenciana;Valencia;El Palmar;4,3;39.311935, -0.317359
La Nostra Bodegueta;Bar restaurante;Valencia;Valencia;4,1;39.4223435, -0.3375879
Arroceria la Isla;Restaurante;Valencia;Valencia;4,5;39.3101884, -0.3182696
Restaurante El Palmar;Restaurante mediterráneo;Valencia;Valencia;3,7;39.3097405, -0.3180269
Restaurante Arrocería Duna;Arrocería;Valencia;Valencia;3,7;39.3741469, -0.321911
NIBIRU Valencia;Restaurante;Valencia;Valencia;4,8;39.4500464, -0.3928264
Llar del Pescador;Restaurante;Valencia;Valencia;4,0;39.3099051, -0.3177197
Restaurante La Albufera;Restaurante de cocina valenciana;Valencia;El Palmar;4,1;39.3103145, -0.3176091
Arrocería La Casota;Restaurante mediterráneo;Valencia;El Palmar;4,5;39.3106136, -0.3171867
Bar Restaurante Pantaló;Bar restaurante;Valencia;Valencia;4,1;39.3023954, -0.2917867
Restaurante La Tagliatella | Valencia Sur;Restaurante italiano;Valencia;Valencia;4,4;39.450657, -0.395089
Nova Conca;Restaurante de cocina valenciana;Valencia;Valencia;;39.4082688, -0.3418927
Arrocería El Ravatjol;Arrocería;Valencia;El Palmar;4,2;39.3115637, -0.3181783
"Restaurante L&apos;Establiment";Restaurante mediterráneo;Valencia;El Palmar;4,5;39.3050345, -0.3187143
Nou Racó;Restaurante;Valencia;Valencia;4,3;39.3259601, -0.3195601
Restaurante La Casa del Tapeo;Restaurante;Valencia;Valencia;4,3;39.4516227, -0.3934233
Cañas y Barro;Restaurante de cocina valenciana;Valencia;El Palmar;4,3;39.3095474, -0.3175712
Restaurant La Isla;Restaurante mediterráneo;Valencia;El Palmar;4,1;39.3104084, -0.3181435
Restaurante Arrocería El Carranc;Arrocería;Valencia;El Perellonet;3,6;39.2991639, -0.2895863
Arrocería El Rek;Arrocería;Valencia;El Palmar;4,3;39.3128098, -0.3193341
Restaurante Casa Ángel - El Palmar;Restaurante de cocina valenciana;Valencia;El Palmar;4,2;39.306024, -0.320547
Restaurante La Dehesa Joaquin Castelló;Restaurante;Valencia;Valencia;3,7;39.3798296, -0.3237311
Arroceria Maribel;Arrocería;Valencia;El Palmar;4,7;39.3106917, -0.3182934
Bar Camping El Saler;Bar restaurante;Valencia;Valencia;3,9;39.3879974, -0.3320548
El Palmar;Restaurante;Valencia;Valencia;4,5;39.3049888, -0.3193691
Restaurante Planta Azul;Restaurante mediterráneo;Valencia;El Palmar;4,4;39.3113371, -0.3181837
Restaurante Pasqualet;Restaurante mediterráneo;Valencia;El Palmar;4,7;39.3107897, -0.3176809
RESTAURANTE EL PASTORET VALENCIA;Restaurante;Valencia;Valencia;4,4;39.4459682, -0.3588619
Restaurant Mornell;Arrocería;Valencia;El Palmar;4,6;39.311466, -0.3177823
Casa Eusebio;Restaurante;Valencia;El Perellonet;3,9;39.27913, -0.27614
Mikkonos Beach Club;Restaurante mediterráneo;Valencia;Valencia;4,4;39.3875496, -0.3272261
Bar Rst. Casa Pote;Bar;Valencia;Valencia;3,5;39.382912, -0.333693
Restaurante El Perellonet;Restaurante;Valencia;Valencia;4,0;39.308262, -0.2981054
Restaurant La Tagliatella | CC Gran Túria, València;Restaurante italiano;Valencia;Valencia;4,1;39.4649962, -0.4137405
Alquería del Pou;Restaurante de cocina valenciana;Valencia;Valencia;4,6;39.4500841, -0.3535289
Comunidad de Pescadores El Palmar;Restaurante;Valencia;El Palmar;4,3;39.3099127, -0.3177117
Restaurante Lal qila Valencia;Restaurante;Valencia;Valencia;4,5;39.4557724, -0.3905352
Easo Berri | Restaurante Vasco;Restaurante vasco;Valencia;Valencia;4,6;39.4696004, -0.3893546
Restaurante Espinosa;Restaurante;València;Valencia;4,4;39.472191, -0.3855219
Petraher restaurante;Restaurante;Valencia;Valencia;4,4;39.4604114, -0.3894172
Okay Lah;Restaurante asiático;Valencia;Valencia;4,6;39.4710223, -0.3791682
Apunto Valencia. Restaurante y Comidas para llevar;Restaurante de comida casera;Valencia;Valencia;4,3;39.4588853, -0.3472713
monal restaurante Valencia;Restaurant de cuina índia moderna;Valencia;Valencia;4,6;39.4701823, -0.388783
El Molinón;Sidrería;Valencia;Valencia;4,4;39.4759181, -0.3801395
Bar Restaurante Rojas Clemente;Bar restaurante;Valencia;Valencia;4,5;39.4728843, -0.3852884
Submarino;Restaurante mediterráneo;Valencia;Valencia;3,9;39.4531053, -0.3472045
Restaurante Espurnes;Restaurante;Valencia;Valencia;4,8;39.4726923, -0.3755366
Asador El Porteño;Restaurante argentino;Valencia;Valencia;4,7;39.4707829, -0.3774405
Improntas Restaurant;Restaurante de Cerdeña;Valencia;Valencia;4,7;39.4622139, -0.3720874
Elbar Valencia;Bar restaurante;Valencia;Valencia;4,2;39.455388, -0.358176
Restaurante Casa Negra;Restaurante;Valencia;Valencia;4,6;39.4086334, -0.3367086
Lemongrass Aqua / Restaurante tailandés Valencia;Restaurante tailandés;Valencia;Valencia;4,2;39.4566792, -0.3455497
Giardino del Carmen;Restaurante;Valencia;Valencia;4,8;39.4742389, -0.380714
La Tagliatella;Restaurante italiano;Valencia;Valencia;4,2;39.4525752, -0.3563018
Jamón Jamón;Restaurante;Valencia;Valencia;4,6;39.4758649, -0.3800777
Ginos;Restaurante;Valencia;Valencia;3,5;39.45403, -0.35345
Restaurante Dibocca;Restaurante italiano;Valencia;Valencia;4,2;39.4786242, -0.4017608
Restaurante Asador Argentino Gordon 10;Restaurante argentino;Valencia;Valencia;4,7;39.4675846, -0.364669
Restaurante LIENZO VALENCIA;Restaurante mediterráneo;Valencia;Valencia;4,6;39.4749096, -0.3695011
Restaurante Helen Berger Valencia;Restaurante;Valencia;Valencia;4,5;39.4722346, -0.3725259
Restaurante El Puerto Valencia;Restaurante;Valencia;Valencia;3,5;39.456706, -0.3312292
Casa Lucía;Restaurante familiar;Valencia;Carpesa;4,7;39.5168998, -0.3783391
"Arròs &amp; Vi";Restaurante mediterráneo;Valencia;Valencia;4,1;39.5220939, -0.3577551
Bar Restaurante Hort I Mar;Bar restaurante;Valencia;Carpesa;4,1;39.5167122, -0.3763151
Bar restaurante La Marxal;Bar restaurante;Valencia;Museros;4,2;39.5567542, -0.3376368
Ca Cent Duros;Bar;Valencia;Borbotó;4,3;39.5162021, -0.3904706
Rogies Gourmet;Restaurante;Valencia;Tabernes Blanques;5,0;39.5156005, -0.3771344
"Racó de L &apos; Arnau | Restaurante con terraza en Valencia";Restaurante;Valencia;Valencia;4,3;39.4918353, -0.4012557
Taberna 58;Bar restaurante;Valencia;Valencia;4,1;39.4962322, -0.4011369
José Manuel Andrés Vicent DLX;Restaurante;Valencia;Carpesa;3,7;39.5155692, -0.3768248
Las Perdices;Restaurante;Valencia;Valencia;4,2;39.4980652, -0.3774766
desKarat;Restaurante de fusión;Valencia;Valencia;4,5;39.4930975, -0.400526
Restaurante LA TERRAZITA;Restaurante de cocina española;Valencia;Valencia;4,1;39.4926777, -0.3943957
Bar Nazaret;Bar restaurante;Valencia;Valencia;4,5;39.5006517, -0.3942079
Tavella restaurant. Pablo Chirivella;Restaurante;Valencia;Valencia;4,5;39.4958881, -0.4074097
La Piazza Cortes;Pizzería;Valencia;Valencia;4,2;39.4911708, -0.4006944
Restaurante Super Mama;Restaurante rumano;Valencia;Valencia;4,5;39.4937442, -0.3932005
Restaurante Tast;Restaurante mediterráneo;Valencia;Moncada;4,6;39.5426231, -0.4011645
Restaurante Tapaté (Valencia);Restaurante;Valencia;Valencia;4,2;39.5459976, -0.3879746
La Trilogia Restaurante - Cocina Mediterránea;Restaurante mediterráneo;Valencia;Valencia;4,1;39.4902754, -0.402036
One VLC;Restaurante;Valencia;Valencia;;39.495413, -0.4038651
Restaurante Malkebien;Restaurante;Valencia;Valencia;4,7;39.4954533, -0.3753246
"Sorolla Coffee Break - cafetería &amp; restaurante";Restaurante;Valencia;Valencia;4,0;39.4966199, -0.4010971
il Pecorino;Restaurante italiano;Valencia;Burjasot;4,6;39.5155465, -0.4115586
Lamburguesa (Cortes Valencianas);Hamburguesería;Valencia;Valencia;4,1;39.4924695, -0.4001446
Il Cortile - Pedro Cabanes;Restaurante italiano;Valencia;Valencia;4,7;39.4936874, -0.3814744
BAR LA PEDRERETA;Bar restaurante;Valencia;Moncada;4,5;39.5447903, -0.4010696
Restaurante Santa Ana;Restaurante;Valencia;Carpesa;4,4;39.5198197, -0.3779886
Restaurante Pirineos;Restaurante;Valencia;Valencia;4,7;39.4864446, -0.3903778
DOM RESTAURANT - NEXT CLUB;Restaurante;Valencia;Valencia;3,6;39.4961733, -0.4013229
Restaurante La Cena de los Locos;Restaurante;Valencia;Valencia;4,0;39.4998444, -0.3920931
TGB - The Good Burger;Hamburguesería;Valencia;Valencia;3,7;39.4936621, -0.400928
Café Beniferri;Bar restaurante;Valencia;Valencia;4,5;39.494727, -0.4050526
Restaurante Secreto de Anna;Restaurante;Valencia;Valencia;4,7;39.4805845, -0.3941258
Bar Restaurante Boliviano El Cupesi;Restaurante de cocina sudamericana;Valencia;Valencia;4,0;39.4886231, -0.3910109
Bar Ca Mario;Bar;Valencia;Moncada;4,0;39.5416475, -0.4007054
Bar Restaurante Los Chicos;Restaurante;Valencia;Valencia;4,4;39.4920088, -0.3749098
Araguaney;Parrilla;Valencia;Burjasot;4,6;39.5121834, -0.4159651
Restaurante del Este;Restaurante búlgaro;Valencia;Valencia;4,5;39.4849805, -0.3745393
Restaurante Pizzería Boloñesa;Pizzería;Valencia;Valencia;4,4;39.4901737, -0.3831446
"Restaurante Latr3&apos;S";Restaurante;Valencia;Valencia;;39.4759612, -0.4021416
Forn Abdón i Senén;Restaurante;Valencia;Carpesa;4,0;39.515543, -0.3768407
"McDonald&apos;s";Restaurante de comida rápida;Valencia;Valencia;3,6;39.4976665, -0.3834559
El Racó;Restaurante mediterráneo;Valencia;Meliana;4,6;39.5253952, -0.3491242
Restaurante La Mandrágora;Restaurante;Valencia;Valencia;4,1;39.4741122, -0.3956945
A huevo - Restaurante en Valencia;Restaurante;Valencia;Valencia;4,6;39.465777, -0.36405
Restaurante Levante Valencia;Restaurante de cocina valenciana;Valencia;Valencia;4,5;39.4754275, -0.4030548
Restaurante El Encuentro;Restaurante de cocina española;Valencia;Valencia;4,4;39.4713298, -0.3775941
La Càbila - Valencia;Restaurante;Valencia;Valencia;4,7;39.4758525, -0.3792047
El Ventorro Valencia;Restaurante mediterráneo;Valencia;Valencia;4,6;39.4727088, -0.3716355
Restaurante Grillo Grill Bar;Restaurante;València;Valencia;4,9;39.4675431, -0.3650522
Restaurante Atmosphère - Restaurante francés Valencia;Restaurante francés;Valencia;Valencia;4,5;39.4753884, -0.3860702
"Garnacha Tinta Restaurante &amp; Gin Corner";Restaurante;Valencia;Valencia;4,4;39.4708508, -0.3724207
VERNETTA RESTAURANTE;Restaurante;Valencia;Valencia;4,3;39.4639435, -0.3622454
TABERNA ALKAZAR;Restaurante mediterráneo;Valencia;Valencia;4,4;39.4688733, -0.3744794
EL PEDERNIZ | Comida casera todos los días;Restaurante;Valencia;Valencia;4,4;39.4625443, -0.3839903
Restaurant Secret;Restaurante mediterráneo;Valencia;Valencia;4,7;39.473327, -0.375048
Café de la Bourse Valencia;Restaurante francés;Valencia;Valencia;4,5;39.4727722, -0.3738738
Baltasar Valencia;Restaurante;Valencia;Valencia;3,7;39.473604, -0.375625
Restaurante Balcon de Valencia;Restaurante de cocina española;Valencia;Valencia;3,4;39.4706698, -0.3760738
Palace Fesol;Restaurante;Valencia;Valencia;4,3;39.468584, -0.3715455
LA FIRMA;Restaurante mediterráneo;Valencia;Valencia;4,3;39.4688455, -0.3662235
Espolín Restaurante;Restaurante;Valencia;Valencia;4,8;39.4714069, -0.3758774
"Restaurante D&apos; Otra Manera";Restaurante;Valencia;Valencia;4,6;39.4639842, -0.372783
Restaurante Novamar;Restaurante mediterráneo;València;Valencia;4,4;39.4788587, -0.3244954
La Taberna Casera;Restaurante especializado en tapas;Valencia;Valencia;4,6;39.47254, -0.33293
La Llimera Cabanyal;Restaurante;Valencia;Valencia;4,5;39.4639629, -0.3319639
La Otra Parte Taberna;Taberna;Valencia;Valencia;4,3;39.4670426, -0.3255255
La Sastrería;Restaurante mediterráneo;Valencia;Valencia;4,5;39.4647529, -0.3308123
Som de Mar Restaurante;Arrocería;Valencia;Valencia;4,4;39.4631857, -0.3323334
Restaurante Kabanyal;Restaurante mediterráneo;Valencia;Valencia;4,3;39.4632667, -0.3300701
De Tot Un Poc;Restaurante;Valencia;Valencia;4,8;39.4648564, -0.3296072
Contraste Restaurant;Restaurante;Valencia;Valencia;4,7;39.4653037, -0.3296041
Las Cremositas;Restaurante de cocina española;Valencia;Valencia;4,9;39.4720191, -0.325835
Bodega La Antigua;Restaurante;Valencia;Valencia;4,8;39.4813113, -0.3269381
Restaurante Erizo de Mar;Restaurante;Valencia;Valencia;4,9;39.4682764, -0.3302644
Bar Restaurante miSitio;Restaurante;Valencia;Valencia;4,5;39.4671026, -0.3336787
Casa Diego arroceria cañameral;Restaurante;Valencia;Valencia;4,5;39.4635177, -0.3314037
Taska La Reina;Restaurante mediterráneo;Valencia;Valencia;4,5;39.4708631, -0.3284547
"L&apos;Arroceria";Restaurante;Valencia;Valencia;3,0;39.4669664, -0.3320635
Ca la Mar;Restaurante;Valencia;Valencia;4,2;39.4671597, -0.331058
La Mamarratxa;Bar de tapas;Valencia;Valencia;4,6;39.4664362, -0.3265971
La Xarranta;Restaurante especializado en tapas;Valencia;Valencia;4,3;39.4667517, -0.3288109
REE Ca;Restaurante mediterráneo;Valencia;Valencia;3,8;39.4635382, -0.3233313
Restaurante La Murciana;Restaurante mediterráneo;Valencia;Valencia;4,1;39.4786142, -0.3242452
El Rinconcillo;Restaurante;Valencia;Valencia;4,3;39.4632692, -0.330476
La Cabanyita;Bar de tapas;Valencia;Valencia;4,7;39.4693188, -0.3253577
Destino 56;Restaurante;Valencia;Valencia;3,6;39.465144, -0.3232773
Mercabanyal;Zona de restauración;Valencia;Valencia;4,3;39.4720579, -0.3257146
La Divina Comedia Playa;Restaurante;Valencia;Valencia;4,0;39.4652671, -0.3232004
Ca Rakel;Restaurante;Valencia;Valencia;4,5;39.4638974, -0.3289471
Mercader Cabanyal;Restaurante;Valencia;Valencia;4,2;39.4695524, -0.3341351
BAR EL MERCADO;Bar restaurante;Valencia;Valencia;4,7;39.4676899, -0.3329755
El Tridente de Neptuno;Restaurante mediterráneo;Valencia;Valencia;4,2;39.4632147, -0.3229729
La Marcelina;Restaurante mediterráneo;Valencia;Valencia;3,5;39.4635387, -0.3230702
ELViENTo;Bar restaurante;Valencia;Valencia;4,1;39.46462, -0.3310254
Restaurante LA REINA;Restaurante;Valencia;Valencia;3,8;39.4640951, -0.3233868
Restaurante Mirant la Mar;Restaurante;Valencia;Valencia;4,5;39.4680654, -0.331685
La Gran Sesenta y Seis;Restaurante argentino;Valencia;Valencia;5,0;39.4647309, -0.3334418
Líndala Restobar;Restaurante;Valencia;Valencia;4,3;39.4647571, -0.3339272
Calma Beach;Restaurante;Valencia;Valencia;4,0;39.463645, -0.3291282
Restaurante Mestiza;Restaurante vegano;Valencia;Valencia;4,5;39.4708746, -0.3282157
Restaurante La Princesa;Pizzería;Valencia;Valencia;4,4;39.4732763, -0.3278698
Bodega Anyora;Restaurante de cocina española;Valencia;Valencia;4,5;39.4658753, -0.3332722
Bar Restaurante La Mona;Bar;Valencia;Valencia;4,2;39.4728366, -0.3279263
2007 Segó Velas;Restaurante;Valencia;Valencia;5,0;39.4644667, -0.3340141
Portolito Playa;Restaurante mediterráneo;Valencia;Valencia;4,1;39.4645292, -0.3234191
La Rosa;Restaurante mediterráneo;Valencia;Valencia;3,5;39.4654657, -0.3237279
La Cuina de la iaia;Restaurante de comida para llevar;Valencia;Valencia;4,4;39.4671859, -0.3314866
BAR RESTAURANTE ANDRES;Bar restaurante;Valencia;Valencia;3,8;39.4635096, -0.3350967
Tanit Valencia;Restaurante;Valencia;Valencia;4,2;39.4652186, -0.3236777
La Paz;Restaurante mediterráneo;Valencia;Valencia;4,4;39.4654219, -0.3236899
Casa Carmela;Restaurante de cocina valenciana;Valencia;Valencia;4,5;39.4822222, -0.3258333
Cienfuegos Brasa y Vino;Restaurante;Valencia;Valencia;4,7;39.4706721, -0.328249
Las Carabelas;Restaurante;Valencia;Valencia;4,3;39.4642158, -0.3232841
Aldeaneta;Restaurante;Valencia;Valencia;5,0;39.4695524, -0.3341351
Casa César, El Delfín;Restaurante mediterráneo;Valencia;Valencia;4,7;39.4786073, -0.3260276
Restaurante Namua Gastronomic;Restaurante;Valencia;Valencia;4,4;39.4607872, -0.3349192
Restaurante Luz de Luna;Restaurante;Valencia;Valencia;4,1;39.4798159, -0.3242579
Valensia;Restaurante familiar;Valencia;Valencia;5,0;39.4822061, -0.3258542
La Forja;Restaurante de cocina española;Valencia;Valencia;4,5;39.4613691, -0.3352379
La Trucha;Restaurante;Valencia;Valencia;4,3;39.4614559, -0.338149
Bar Cafetería Bon Lloc;Bar;Valencia;Valencia;4,3;39.4742096, -0.3292768
Cerveceria Canyamelar;Restaurante;Valencia;Valencia;4,2;39.4652971, -0.3287613
Restaurante Casa Isabel;Restaurante mediterráneo;Valencia;Valencia;4,1;39.4811782, -0.3243605
Catay;Restaurante;Valencia;Valencia;4,0;39.461324, -0.3367025
Fuego y pasión;Restaurante argentino;Valencia;Valencia;4,7;39.4633096, -0.3351702
Gastro - Bar Ca´Nela;Bar de tapas;Valencia;Valencia;3,9;39.4658473, -0.3327823
Restaurante la Ruana;Restaurante colombiano;Valencia;Valencia;4,4;39.4615099, -0.3372877
Bar Naval;Cafetería;Valencia;Valencia;4,2;39.4670272, -0.3323975
Taberna Sajan;Restaurante;Valencia;Valencia;3,8;39.461479, -0.3343477
Kaizen Sushi Fusion Bar | Restaurante Japonés en Valencia;Restaurante japonés;Valencia;Valencia;4,4;39.4630567, -0.3338267
CASTILLO DE ARENA - Valencia;Restaurante mediterráneo;Valencia;Valencia;4,0;39.4650269, -0.3235399
Viva Napoli;Pizzería;Valencia;Valencia;4,6;39.4662428, -0.3289027
Bar Restaurante Luis;Restaurante;Valencia;Valencia;4,1;39.4607555, -0.3357733
Trattoria Piemontese;Restaurante del Piamonte;Valencia;Valencia;4,6;39.4697077, -0.3306944
La Fábrica del Grao;Restaurante;Valencia;Valencia;4,5;39.4614934, -0.3343836
"Chicken &amp; Chips Comida Árabe";Restaurante;Valencia;Valencia;;39.4601209, -0.3337097
Puerto Valencia Acciona;Restaurante;Valencia;Valencia;4,2;39.4547403, -0.3270875
Casa Bassa Restaurant;Restaurante;Valencia;Valencia;4,6;39.4638525, -0.3232749
Bar Cerveceria Costa Blanca;Bar de tapas;Valencia;Valencia;3,9;39.4603742, -0.3329875
Ciscar 26 Puerto;Cervecería;Valencia;Valencia;4,4;39.4615853, -0.3319429
The Market Bar Cabanyal;Cervecería;Valencia;Valencia;4,5;39.4682386, -0.3322823
Umair pizzeria kebab;Restaurante;Valencia;Valencia;4,3;39.4630105, -0.3336616
Tasca Villamar;Restaurante;Valencia;Valencia;4,5;39.4724948, -0.3362311
Paso Obligado Restobar Fusión;Pub restaurante;Valencia;Valencia;4,4;39.4642011, -0.3296015
Chiringuito La Base;Restaurante;Valencia;Valencia;4,3;39.4278217, -0.3295396
Restaurante Panorama;Restaurante;Valencia;Valencia;4,3;39.4628173, -0.3180657
La Taula de Xuan;Restaurante;Valencia;Valencia;4,3;39.4797894, -0.3312934
Restaurante Duna Puerto | Arrocería en la Marina de Valencia;Restaurante mediterráneo;València;Valencia;3,7;39.4574824, -0.3261563
Restaurante Paseo;Restaurante;Valencia;Valencia;3,8;39.4633876, -0.3363982
Terraza Malvarrosa;Restaurante mediterráneo;Valencia;Valencia;3,6;39.4769591, -0.3252933
Destino Puerto;Restaurante;Valencia;Valencia;3,9;39.4614626, -0.3230574
El Cafetero;Restaurante;Valencia;Valencia;4,0;39.4605896, -0.3331518
Vivir Sin Dormir;Bar;Valencia;Valencia;3,7;39.4647262, -0.3236373
Habitaciones Mar Hotel;Restaurante;Valencia;Valencia;4,0;39.4610449, -0.3329106
Restaurante Isla Despedidas Valencia;Restaurante;Valencia;Valencia;4,5;39.4611668, -0.3377395
El Marítimo;Restaurante;Valencia;Valencia;4,0;39.4549369, -0.3268871
Restaurante Indio 25;Restaurante indio;Valencia;Valencia;4,1;39.4613955, -0.3368538
